Label,LeftEyebrow,RightEyebrow,LeftLip,RightLip,LipHeight,LipWidth,LeftEyeHeight,LeftEyeWidth,RightEyeHeight,RightEyeWidth,LipsToNose,NoseHeight,NoseWidth,LeftEyeToLeftLip,RightEyeToRightLip
Fear,5.420136,5.169046,4.657535,5.028152,0.9969215,3.37314,1.172402,2.134506,1.214395,1.231819,1.996411,9.935928,6.662021,3.631296,3.311059
Fear,5.42753,5.692492,4.522326,4.588723,1.468307,2.855421,1.234497,2.227959,1.312481,1.378154,2.468091,9.87134,6.212709,3.875072,3.856535
Fear,4.80817,4.896197,4.126649,4.295073,0.685721,2.665212,1.164012,2.109526,1.176007,1.253867,1.685266,8.839256,5.671303,3.203633,3.331373
Fear,5.183963,5.00664,5.115343,5.158322,1.765686,3.682231,1.313987,2.216769,1.256234,1.313987,2.761074,10.69404,6.569139,3.638034,3.897456
Fear,4.989569,4.782553,5.966265,6.25371,2.209072,5.10098,1.285714,2.43277,1.246534,1.246534,3.206244,12.5677,7.296371,3.34245,3.030501
Fear,4.938521,5.026083,6.830113,6.035152,1.843506,5.72168,1.083333,2.509012,1.035642,1.114855,2.84283,10.59796,6.909533,3.180541,3.306676
Fear,5.679184,5.683251,5.743539,5.147351,2.024578,3.938725,1.237942,2.45204,1.2112,1.318552,3.020481,10.63167,6.614459,3.324896,3.840177
Fear,5.637751,5.39253,5.572502,5.791062,1.736842,4.210855,1.118034,2.386851,1.150447,1.236694,2.736842,10.24315,7.158746,3.832612,3.973225
Fear,5.741788,5.754285,5.015468,4.850775,1.601999,3.320964,1.076487,2.300895,1.162476,1.192601,2.60123,11.6162,6.659212,3.828921,4.012048
Fear,4.964013,4.8491,6.34682,5.304828,2.545455,4.276594,1.208583,2.652114,1.07175,1.25741,3.545455,13.56434,6.977666,3.096214,3.647653
Fear,5.045703,4.837532,4.735137,4.85894,1.569054,3.206909,1.45925,2.605424,1.345362,1.345362,2.564894,10.5183,6.478278,3.32833,3.401389
Anger,5.809935,5.578403,4.585176,4.313135,0.744348,3.395148,1.108131,2.307479,1.131525,1.2149,1.744334,14.60488,7.179689,3.535174,3.88123
Anger,5.599802,5.616042,4.508442,4.35936,0.7207354,3.348659,1.175841,2.354194,1.152422,1.211473,1.720622,14.24997,7.16476,3.590877,3.982461
Anger,5.548814,5.660364,4.538861,4.36866,0.7498064,3.408514,1.116522,2.324953,1.159166,1.223479,1.749696,14.8719,7.026927,3.482075,3.996927
Anger,5.810912,6.052873,3.881821,3.776132,0.7538996,2.327133,1.104496,2.73712,0.9856965,1.048527,1.753893,13.33693,6.059079,3.833453,4.313302
Anger,7.713778,6.835696,4.190717,4.271605,0.7212212,2.686274,1.091457,2.613717,1.068905,1.16734,1.720104,11.0435,5.993565,4.23981,3.42285
Anger,7.858455,6.486024,4.21893,4.264279,0.6892455,2.656335,1.059921,2.546577,1.080477,1.17407,1.689003,11.64692,5.961366,4.260025,3.386063
Anger,5.782294,5.873719,4.070046,3.988629,0.9098179,2.163942,1.02608,2.731972,1.066571,1.121337,1.909437,10.88142,6.172877,3.726875,3.990329
Anger,6.008526,5.942203,4.101727,4.004637,0.7875385,2.28683,1.073888,2.693502,1.159052,1.196843,1.786518,10.90041,6.112153,3.802846,3.824388
Anger,5.526563,5.495004,4.608241,4.715438,0.9383437,3.321603,1.056239,2.510875,1.070245,1.134717,1.937222,11.43355,6.569057,3.266363,3.252381
Anger,5.569881,5.435009,3.802373,3.86117,0.5934139,2.108095,1.005749,2.428215,1.037875,1.105142,1.593396,9.823102,5.716856,3.902909,3.53908
Anger,5.159119,5.134253,3.868879,3.958994,0.5404357,2.315281,0.9457358,2.358051,1.018557,1.065398,1.539182,9.607433,5.912042,3.808679,3.45321
Anger,5.963218,5.975077,4.607058,4.370312,1.041492,3.210571,1.199704,2.466958,1.253628,1.398908,2.039608,12.76726,6.535434,3.649963,3.748333
Anger,5.992613,6.103814,4.0002,4.012231,0.6562043,2.736676,1.166685,2.347535,1.12261,1.217876,1.656146,10.10932,6.282121,3.699673,3.670815
Anger,6.068401,6.149051,4.254657,4.262237,0.5974304,3.122524,1.122952,2.305256,1.105049,1.178594,1.597113,10.98361,6.43922,3.708843,3.551326
Anger,6.086833,6.142629,4.150996,4.28823,0.8736958,2.651637,1.195615,2.485924,1.138351,1.24012,1.87026,11.27739,6.155807,3.772797,3.423825
Anger,5.276219,5.564049,4.126005,3.987965,0.6748646,2.549671,1.115316,2.41503,1.1738,1.229825,1.674617,11.46355,5.986372,3.716449,3.60731
Anger,6.518306,5.953867,4.122904,4.12039,0.6728617,2.690464,1.081625,2.409605,1.084071,1.16047,1.672846,14.34275,6.453554,3.785545,3.845036
Anger,6.561343,5.675713,4.123156,3.814708,0.2307179,2.704128,1.080852,2.431729,1.083183,1.11763,1.229008,13.47075,6.536949,3.734341,3.595043
Anger,6.010689,5.076085,4.554883,4.603347,0.8429752,3.411616,1.125043,2.410855,1.120309,1.265471,1.842887,13.79144,6.791996,3.740211,3.227261
Anger,6.281734,6.780879,4.296231,4.194292,0.7709475,2.833408,1.127228,2.573908,1.173231,1.276023,1.770449,12.05745,6.152863,3.469207,3.378325
Anger,6.009283,6.566139,3.771875,3.826536,0.5669117,2.333571,1.066987,2.387669,1.141765,1.26204,1.566755,11.68516,5.864093,3.540744,3.446301
Disgust,6.287864,6.37379,6.490369,5.371602,1.515209,5.371963,1.009974,2.64976,0.9286699,0.9286699,2.511276,15.92661,9.52294,2.869504,3.264174
Disgust,5.63347,5.320644,6.38763,7.838351,2.533098,6.092779,0.9452416,2.404619,0.8996484,0.9359083,3.518314,12.44285,9.154808,3.148789,2.761992
Disgust,7.387972,6.697108,5.84129,5.53765,1.524433,4.550059,1.060537,2.62427,0.9588471,1.046374,2.522961,14.30056,7.579316,3.44755,3.165944
Disgust,8.093174,6.71492,5.273717,5.601551,1.447586,3.57975,1.083254,2.519301,1.115193,1.185359,2.446965,11.41871,7.113641,3.740993,3.088916
Disgust,6.141224,6.057028,5.053779,5.213568,1.380766,3.594535,1.060053,2.660323,1.136962,1.17665,2.380278,11.85076,6.997414,3.65871,3.559461
Disgust,6.981016,6.108944,4.454392,5.0412,1.740434,3.110356,1.136463,2.467067,1.165645,1.26712,2.740425,10.54153,6.485677,4.155763,3.643961
Disgust,6.760598,6.673597,6.961673,6.326729,2.904838,4.939278,1.168557,2.624411,1.121883,1.313064,3.904425,13.59855,8.382745,3.479199,3.499424
Disgust,6.598518,6.467026,6.887181,7.192232,2.921928,5.691347,1.01693,2.293788,1.085255,1.146977,3.920367,16.91297,8.688945,3.639128,3.322632
Disgust,5.2838,5.47348,4.705524,4.666415,1.219232,3.149469,1.074556,2.507264,1.146776,1.242335,2.218911,12.72447,6.657393,3.414089,3.555781
Disgust,5.712859,5.498304,6.918842,6.49681,2.20807,5.414308,0.9723634,2.55019,0.9880354,1.109022,3.206809,14.73797,8.510275,3.366105,3.445704
Disgust,5.856664,5.675762,4.732826,4.470085,1.911802,2.73708,1.032628,2.528383,1.035482,1.096079,2.911749,10.52881,6.549793,3.872453,4.399144
Disgust,7.546281,6.81323,4.413556,4.497359,0.8920549,3.121596,1.059921,2.454013,1.10185,1.121022,1.891679,12.93443,6.808966,3.346954,3.436618
Disgust,5.515374,5.464983,4.930346,5.152816,1.814804,3.442187,1.0606,2.486104,1.039777,1.148241,2.81473,11.50715,6.538253,3.066428,3.105039
Disgust,4.994527,5.307054,5.297904,4.545003,1.41598,3.541892,1,2.507987,1.054093,0.9827573,2.413504,12.61334,6.775366,3.27448,4.328429
Disgust,5.088545,4.69268,5.625406,5.738921,2.243765,3.405877,1.17444,2.888741,1.170141,1.277016,3.24303,10.60629,6.660363,3.432943,3.329645
Disgust,5.116222,5.23901,5.530021,5.476808,2.041549,4.041763,1.024295,2.693648,1,1.02262,3.040916,9.908152,7.04556,3.209167,3.455208
Disgust,5.870579,5.306011,4.266792,4.647394,0.7126466,2.940611,1.110665,2.660882,1.036987,1.036987,1.712479,10.68428,6.322128,3.550894,3.085218
Disgust,5.56577,4.846845,5.283211,6.090605,1.838478,4.596194,0.9172673,2.669108,0.9156755,0.9805807,2.83196,12.98924,8.554914,3.205897,3.062876
Disgust,5.374642,6.778213,4.93714,4.302364,0.8527158,3.370625,0.9385249,2.781322,1,1.071414,1.847539,12.53821,6.631687,3.216908,3.786157
Disgust,8.492388,6.891109,6.218044,5.639052,1.560704,5.180779,1.109021,2.718549,0.9617692,0.9617692,2.55751,15.04082,8.309275,2.842837,3.007942
Disgust,5.750635,5.958962,4.958162,5.102471,1.135312,3.459366,0.8944272,2.48147,1,1.007634,2.135281,9.362649,7.029431,3.0934,3.179962
Disgust,8.245212,7.48288,4.868468,5.494294,1.249439,3.995322,1,2.81924,0.9718253,0.9518313,2.249411,13.48376,7.555994,3.167672,2.937806
Disgust,5.378416,5.350356,5.958765,5.862515,2.247748,4.394794,1.152422,2.415774,1.159762,1.244797,3.247481,10.31446,6.857524,3.523004,3.454373
Disgust,5.127147,4.928201,5.033654,5.580343,2.256027,3.993961,1,2.68561,1,1.185114,3.255764,13.67217,6.935807,3.374743,3
Disgust,4.97717,4.880966,4.998893,5.239819,1.463561,3.769231,1.196843,2.673696,1.059998,1.146563,2.46274,12.82567,6.903458,3.214282,3.285286
Joy,5.777412,5.337738,6.306175,7.696976,2.520295,5.928028,1.011221,2.429552,0.9884294,1.049709,3.512377,12.76631,8.730186,3.101283,2.755003
Joy,6.99505,6.493226,5.309055,5.348848,1.001972,4.666361,1.112454,2.459275,1.054093,1.153878,2,12.47636,6.875109,3.425642,2.84238
Joy,5.996931,6.029359,6.414334,6.074214,1.621255,5.377501,1.173181,2.343476,1.148488,1.219756,2.620665,12.25491,7.620795,3.095769,3.310179
Joy,5.575123,5.472783,5.007362,4.844157,0.8043478,4.261757,0.9866151,2.280642,1.059853,1.090721,1.804348,10.44965,6.494188,2.899751,2.878366
Joy,5.894802,5.764745,4.83586,4.908794,1.159768,3.759727,1.02041,2.254434,1.111963,1.173181,2.159661,11.41933,6.685856,3.151025,2.985609
Joy,5.399384,5.562064,5.328336,5.547448,1.71461,4.468366,1.057378,2.360525,1.014348,1.027934,2.714609,11.52247,6.796789,3.293426,3.210955
Joy,5.749681,5.563444,6.117796,5.669269,2.257324,5.233565,1.04631,2.314996,0.9863939,1.012173,3.257268,12.18665,7.431367,3.184461,3.718734
Joy,6.368817,6.123806,10.09497,11.24948,2.994386,10.84251,0.9776924,2.623424,1.020594,1.084829,3.986154,18.79787,12.58096,2.918114,2.774863
Joy,5.615653,6.1089,6.157558,5.652551,1.648268,5.324849,1.114718,2.628905,0.9697001,1.030696,2.647682,14.32101,7.469288,2.981771,3.616778
Joy,5.081328,4.836348,5.96304,5.547723,2.084289,4.980289,1.064304,2.2753,1.380537,1.389033,3.078215,12.38868,7.160054,3.102368,3.125194
Joy,5.521446,5.433452,6.300053,5.700178,1.27597,5.557364,1.208583,2.658461,1.073807,1.129385,2.274545,12.87933,7.262354,3.026172,3.040118
Joy,5.521645,5.366721,6.572393,6.723274,2.224998,5.888889,1.216385,2.242903,1.236694,1.323987,3.224137,11.57347,7.982929,3.262767,3.52272
Joy,5.835012,5.751261,7.704588,9.281949,3.227288,7.938223,1.126793,2.552813,0.9827573,1,4.224471,13.32341,8.759224,3.170707,2.750412
Joy,5.345357,5.460144,8.604332,8.355137,2.752839,8.314614,0.9985196,2.611422,1.047323,1.105194,3.752083,14.06921,8.890682,2.534758,2.741687
